啊	ɑ
锕	a⁵³
隘	ɑ³⁴
矮	ɑ²³
阿	ɑˀ⁵⁵
厄	ɑˀ⁵⁵
呃	ɑˀ⁵⁵
压	ɑˀ⁵⁵
鸭	ɑˀ⁵⁵
轭	ɑˀ⁵⁵
轧	ɑˀ¹²
抱	bɔ²³
鲍	bɔ²³
暴	bɔ³⁴
刨	bɔ³⁴
咆	bɔ⁵³
庖	bɔ⁵³
狍	bɔ⁵³
炮	bɔ⁵³
爮	bɔ⁵³
袍	bɔ⁵³
匏	bɔ⁵³
跑	bɔ⁵³
瀑	bɔ³⁴
曝	bɔ³⁴
瘢	bø⁵³
伴	bø²³
拌	bø²³
盘	bø⁵³
槃	bø⁵³
磐	bø⁵³
蹒	bø⁵³
瀊	bø⁵³
蟠	bø⁵³
叛	bø³⁴
畔	bø³⁴
白	bɑˀ¹²
帛	bɑˀ¹²
拔	bɑˀ¹²
铂	bɑˀ¹²
舶	bɑˀ¹²
膀	bã⁵³
傍	bã³⁴
棒	bã²³
防	bã⁵³
彷	bã²³
庞	bã⁵³
逄	bã⁵³
旁	bã⁵³
螃	bã⁵³
鳑	bã⁵³
耪	bã⁵³
蚌	bɑ̃²³
甏	bɑ̃³⁴
嘭	bɑ̃⁵³
朋	bɑ̃⁵³
堋	bɑ̃⁵³
彭	bɑ̃⁵³
棚	bɑ̃⁵³
硼	bɑ̃⁵³
鹏	bɑ̃⁵³
澎	bɑ̃⁵³
膨	bɑ̃⁵³
蟛	bɑ̃⁵³
掽	bɑ̃³⁴
碰	bɑ̃³⁴
坌	bəŋ³⁴
捹	bəŋ³⁴
笨	bəŋ²³
盆	bəŋ⁵³
湓	bəŋ⁵³
邶	bɛ³⁴
备	bɛ³⁴
背	bɛ³⁴
倍	bɛ²³
悖	bɛ³⁴
惫	bɛ³⁴
焙	bɛ³⁴
碚	bɛ²³
蓓	bɛ²³
痱	bɛ³⁴
徘	bɛ⁵³
陪	bɛ⁵³
培	bɛ⁵³
赔	bɛ⁵³
锫	bɛ⁵³
裴	bɛ⁵³
佩	bɛ³⁴
旆	bɛ³⁴
吧	ba
呗	ba³⁴
败	ba³⁴
稗	ba³⁴
俳	ba⁵³
排	ba⁵³
牌	ba⁵³
别	biɪˀ¹²
鼻	biɪˀ¹²
吡	biɪˀ¹²
辟	biɪˀ¹²
髌	biɲ²³
并	biɲ²³
病	biɲ³⁴
贫	biɲ⁵³
嫔	biɲ⁵³
频	biɲ⁵³
颦	biɲ⁵³
牝	biɲ²³
平	biɲ⁵³
评	biɲ⁵³
凭	biɲ⁵³
坪	biɲ⁵³
苹	biɲ⁵³
屏	biɲ⁵³
枰	biɲ⁵³
瓶	biɲ⁵³
萍	biɲ⁵³
鲆	biɲ⁵³
陂	bi⁵³
被	bi²³
鞴	bi³⁴
鐾	bi³⁴
币	bi³⁴
坒	bi³⁴
陛	bi²³
毙	bi³⁴
狴	bi²³
婢	bi²³
庳	bi⁵³
敝	bi³⁴
痹	bi³⁴
蓖	bi³⁴
裨	bi⁵³
弊	bi³⁴
篦	bi³⁴
薜	bi³⁴
避	bi³⁴
髀	bi²³
肥	bi⁵³
邳	bi⁵³
铍	bi⁵³
皮	bi⁵³
芘	bi⁵³
毗	bi⁵³
疲	bi⁵³
蚍	bi⁵³
郫	bi⁵³
啤	bi⁵³
埤	bi⁵³
琵	bi⁵³
脾	bi⁵³
鲏	bi⁵³
罴	bi⁵³
蜱	bi⁵³
貔	bi⁵³
鼙	bi⁵³
仳	bi⁵³
圮	bi²³
薇	bi⁵³
扒	bo⁵³
罢	bo³⁴
杷	bo⁵³
爬	bo⁵³
耙	bo⁵³
琶	bo⁵³
筢	bo⁵³
埲	boŋ²³
塳	boŋ⁵³
蓬	boŋ⁵³
篷	boŋ⁵³
雹	boˀ¹²
泊	boˀ¹²
亳	boˀ¹²
箔	boˀ¹²
薄	boˀ¹²
礴	boˀ¹²
卜	boˀ¹²
缚	boˀ¹²
仆	boˀ¹²
镤	boˀ¹²
瀑	boˀ¹²
薄	bu³⁴
哺	bu³⁴
捕	bu³⁴
步	bu³⁴
部	bu²³
埠	bu³⁴
瓿	bu²³
簿	bu²³
脯	bu⁵³
婆	bu⁵³
鄱	bu⁵³
皤	bu⁵³
匍	bu⁵³
莆	bu⁵³
菩	bu⁵³
蒲	bu⁵³
写	ɕia²³
泻	ɕia³⁴
卸	ɕia³⁴
乡	ɕiɑ̃⁵³
芗	ɕiɑ̃⁵³
香	ɕiɑ̃⁵³
享	ɕiɑ̃²³
响	ɕiɑ̃²³
饷	ɕiɑ̃²³
飨	ɕiɑ̃²³
向	ɕiɑ̃³⁴
歇	ɕiɪˀ⁵⁵
咭	ɕiɪˀ⁵⁵
吸	ɕiɪˀ⁵⁵
汔	ɕiɪˀ⁵⁵
凶	ɕioŋ⁵³
兄	ɕioŋ⁵³
匈	ɕioŋ⁵³
汹	ɕioŋ⁵³
胸	ɕioŋ⁵³
郇	ɕin⁵³
蜻	ɕin⁵³
省	ɕin²³
隼	ɕin²³
忄	ɕin⁵³
心	ɕin⁵³
芯	ɕin⁵³
辛	ɕin⁵³
莘	ɕin⁵³
锌	ɕin⁵³
新	ɕin⁵³
薪	ɕin⁵³
囟	ɕin³⁴
信	ɕin³⁴
星	ɕin⁵³
惺	ɕin⁵³
猩	ɕin⁵³
腥	ɕin⁵³
醒	ɕin²³
姓	ɕin³⁴
性	ɕin³⁴
询	ɕin⁵³
峋	ɕin⁵³
恂	ɕin⁵³
洵	ɕin⁵³
荀	ɕin⁵³
讯	ɕin³⁴
汛	ɕin³⁴
迅	ɕin³⁴
修	ɕiɤ⁵³
羞	ɕiɤ⁵³
馐	ɕiɤ⁵³
秀	ɕiɤ³⁴
绣	ɕiɤ³⁴
锈	ɕiɤ³⁴
鞘	ɕiɔ³⁴
蛸	ɕiɔ⁵³
宵	ɕiɔ⁵³
消	ɕiɔ⁵³
绡	ɕiɔ⁵³
逍	ɕiɔ⁵³
萧	ɕiɔ⁵³
硝	ɕiɔ⁵³
销	ɕiɔ⁵³
潇	ɕiɔ⁵³
箫	ɕiɔ⁵³
霄	ɕiɔ⁵³
魈	ɕiɔ⁵³
小	ɕiɔ²³
筱	ɕiɔ²³
肖	ɕiɔ³⁴
笑	ɕiɔ³⁴
啸	ɕiɔ³⁴
噱	ɕyəˀ⁵⁵
砉	ɕyəˀ⁵⁵
洫	ɕyəˀ⁵⁵
血	ɕyəˀ⁵⁵
怴	ɕyəˀ⁵⁵
阈	ɕyəˀ⁵⁵
勋	ɕyŋ⁵³
熏	ɕyŋ⁵³
獯	ɕyŋ⁵³
薰	ɕyŋ⁵³
曛	ɕyŋ⁵³
醺	ɕyŋ⁵³
训	ɕyŋ³⁴
仙	ɕi⁵³
先	ɕi⁵³
纤	ɕi⁵³
氙	ɕi⁵³
籼	ɕi⁵³
鲜	ɕi⁵³
暹	ɕi⁵³
冼	ɕi²³
筅	ɕi²³
跣	ɕi²³
藓	ɕi²³
燹	ɕi²³
线	ɕi³⁴
腺	ɕi³⁴
霰	ɕi³⁴
宣	ɕi⁵³
选	ɕi²³
癣	ɕi²³
渲	ɕi³⁴
碹	ɕi⁵³
汏	da³⁴
大	da³⁴
达	dɑˀ¹²
哒	dɑˀ¹²
跶	dɑˀ¹²
踏	dɑˀ¹²
段	dø³⁴
断	dø²³
缎	dø²³
椴	dø³⁴
毈	dø³⁴
荨	dø⁵³
覃	dø⁵³
谭	dø⁵³
潭	dø⁵³
团	dø⁵³
抟	dø⁵³
燂	dø⁵³
豆	dɤ³⁴
逗	dɤ³⁴
痘	dɤ³⁴
窦	dɤ³⁴
读	dɤ³⁴
头	dɤ⁵³
投	dɤ⁵³
骰	dɤ⁵³
沓	deˀ¹²
夺	deˀ¹²
特	deˀ¹²
凸	deˀ¹²
突	deˀ¹²
导	dɔ³⁴
蹈	dɔ³⁴
悼	dɔ³⁴
焘	dɔ³⁴
盗	dɔ³⁴
道	dɔ²³
稻	dɔ²³
涛	dɔ⁵³
掏	dɔ⁵³
逃	dɔ⁵³
桃	dɔ⁵³
陶	dɔ⁵³
啕	dɔ⁵³
淘	dɔ⁵³
萄	dɔ⁵³
鼗	dɔ⁵³
凼	dɑ̃³⁴
宕	dɑ̃³⁴
砀	dɑ̃³⁴
荡	dɑ̃²³
菪	dɑ̃³⁴
趤	dɑ̃³⁴
唐	dɑ̃⁵³
堂	dɑ̃⁵³
棠	dɑ̃⁵³
塘	dɑ̃⁵³
搪	dɑ̃⁵³
溏	dɑ̃⁵³
瑭	dɑ̃⁵³
樘	dɑ̃⁵³
膛	dɑ̃⁵³
糖	dɑ̃⁵³
